STATE,COUNTY,GEOID,STATE_NAME,COUNTY_NAME,POP_COU,HOU_COU,ALAND_COU,ALAND_Mi²_COU,POPDEN_COU,HOUDEN_COU
1,1,1001,Alabama,Autauga,58805,24350,1539634184.0,594.4527584,98.92291551,40.96204392
1,3,1003,Alabama,Baldwin,231767,124148,4117656199.0,1589.827058,145.7812652,78.08899675
1,5,1005,Alabama,Barbour,25223,11618,2292160149.0,885.0030335,28.50046728,13.12763862
1,7,1007,Alabama,Bibb,22293,9002,1612188717.0,622.4660636,35.81400064,14.46183258
1,9,1009,Alabama,Blount,59134,24622,1670259090.0,644.8870346,91.69667992,38.18033032
1,11,1011,Alabama,Bullock,10357,4516,1613083467.0,622.8115266,16.6294289,7.250989757
1,13,1013,Alabama,Butler,19051,9806,2012002546.0,776.834183,24.52389508,12.62302846
1,15,1015,Alabama,Calhoun,116441,53052,1569246127.0,605.8859296,192.1830402,87.5610365
1,17,1017,Alabama,Chambers,34772,16373,1545085601.0,596.5575505,58.28775441,27.44580131
1,19,1019,Alabama,Cherokee,24971,14513,1433620850.0,553.5210102,45.11301205,26.21942028
1,21,1021,Alabama,Chilton,45014,19438,1794438835.0,692.8328342,64.97093928,28.05582969
1,23,1023,Alabama,Choctaw,12665,7104,2365900081.0,913.4740213,13.86465264,7.776904252
1,25,1025,Alabama,Clarke,23087,11655,3207494086.0,1238.413467,18.64240064,9.41123487
1,27,1027,Alabama,Clay,14236,7035,1564255426.0,603.95902,23.57113567,11.64814129
1,29,1029,Alabama,Cleburne,15056,6801,1450666453.0,560.1023175,26.8808029,12.14242432
1,31,1031,Alabama,Coffee,53465,24105,1758565928.0,678.9823048,78.74284738,35.50166157
1,33,1033,Alabama,Colbert,57227,27666,1535742270.0,592.9500904,96.51233877,46.65822714
1,35,1035,Alabama,Conecuh,11597,6382,2202213384.0,850.2745876,13.63912337,7.505810586
1,37,1037,Alabama,Coosa,10387,5999,1685846963.0,650.9055124,15.9577693,9.216391451
1,39,1039,Alabama,Covington,37570,18596,2669165738.0,1030.564891,36.45573443,18.04447265
1,41,1041,Alabama,Crenshaw,13194,6516,1576952763.0,608.8614618,21.66995421,10.70194192
1,43,1043,Alabama,Cullman,87866,39145,1902962812.0,734.7339417,119.5888675,53.27778911
1,45,1045,Alabama,Dale,49326,22761,1453276166.0,561.1099277,87.90790818,40.56424397
1,47,1047,Alabama,Dallas,38462,18880,2534919608.0,978.7324606,39.2977668,19.29025628
